index,decim_data,hann_q15,expected_window,rtl_window,error
724,-341,9107,-95,-95,0
725,-354,9130,-99,-99,0
726,-358,9152,-100,-100,0
727,-358,9175,-100,-100,0
728,-353,9197,-99,-99,0
729,-343,9220,-97,-97,0
730,-327,9243,-92,-92,0
731,-303,9265,-86,-86,0
732,-277,9288,-79,-79,0
733,-246,9311,-70,-70,0
734,-211,9333,-60,-60,0
735,-171,9356,-49,-49,0
736,-128,9379,-37,-37,0
737,-83,9401,-24,-24,0
738,-36,9424,-10,-10,0
739,10,9447,3,3,0
740,56,9470,16,16,0
741,103,9492,30,30,0
742,148,9515,43,43,0
743,190,9538,55,55,0
744,226,9561,66,66,0
745,260,9584,76,76,0
746,293,9607,86,86,0
747,317,9630,93,93,0
748,335,9652,99,99,0
749,350,9675,103,103,0
750,357,9698,106,106,0
751,358,9721,106,106,0
752,356,9744,106,106,0
753,346,9767,103,103,0
754,333,9790,99,99,0
755,318,9813,95,95,0
756,294,9836,88,88,0
757,265,9859,80,80,0
758,239,9882,72,72,0
759,210,9905,63,63,0
760,177,9929,54,54,0
761,145,9952,44,44,0
762,113,9975,34,34,0
763,81,9998,25,25,0
764,52,10021,16,16,0
765,24,10044,7,7,0
766,0,10067,0,0,0
767,-21,10091,-6,-6,0
768,-41,10114,-13,-13,0
769,-56,10137,-17,-17,0
770,-66,10160,-20,-20,0
771,-75,10184,-23,-23,0
772,-79,10207,-25,-25,0
773,-75,10230,-23,-23,0
774,-69,10253,-22,-22,0
775,-62,10277,-19,-19,0
776,-51,10300,-16,-16,0
777,-39,10323,-12,-12,0
778,-28,10347,-9,-9,0
779,-11,10370,-3,-3,0
780,8,10393,3,3,0
781,22,10417,7,7,0
782,36,10440,11,11,0
783,50,10464,16,16,0
784,61,10487,20,20,0
785,69,10511,22,22,0
786,73,10534,23,23,0
787,76,10558,24,24,0
788,75,10581,24,24,0
789,65,10605,21,21,0
790,57,10628,18,18,0
791,43,10652,14,14,0
792,24,10675,8,8,0
793,4,10699,1,1,0
794,-22,10722,-7,-7,0
795,-51,10746,-17,-17,0
796,-79,10770,-26,-26,0
797,-110,10793,-36,-36,0
798,-142,10817,-47,-47,0
799,-174,10840,-58,-58,0
800,-205,10864,-68,-68,0
801,-236,10888,-78,-78,0
802,-264,10911,-88,-88,0
803,-290,10935,-97,-97,0
804,-313,10959,-105,-105,0
805,-333,10983,-112,-112,0
806,-347,11006,-117,-117,0
807,-356,11030,-120,-120,0
808,-360,11054,-121,-121,0
809,-359,11078,-121,-121,0
810,-352,11101,-119,-119,0
811,-338,11125,-115,-115,0
812,-321,11149,-109,-109,0
813,-294,11173,-100,-100,0
814,-264,11197,-90,-90,0
815,-235,11220,-80,-80,0
816,-197,11244,-68,-68,0
817,-155,11268,-53,-53,0
818,-111,11292,-38,-38,0
819,-66,11316,-23,-23,0
820,-20,11340,-7,-7,0
821,29,11364,10,10,0
822,75,11388,26,26,0
823,118,11412,41,41,0
824,163,11436,57,57,0
825,203,11460,71,71,0
826,239,11484,84,84,0
827,274,11508,96,96,0
828,301,11532,106,106,0
829,323,11556,114,114,0
830,341,11580,121,121,0
831,351,11604,124,124,0
832,357,11628,127,127,0
833,358,11652,127,127,0
834,355,11676,126,126,0
835,345,11700,123,123,0
836,328,11724,117,117,0
837,307,11748,110,110,0
838,285,11772,102,102,0
839,258,11796,93,93,0
840,229,11820,83,83,0
841,198,11845,72,72,0
842,165,11869,60,60,0
843,133,11893,48,48,0
844,103,11917,37,37,0
845,73,11941,27,27,0
846,43,11965,16,16,0
847,13,11990,5,5,0
848,-10,12014,-4,-4,0
849,-28,12038,-10,-10,0
850,-47,12062,-17,-17,0
851,-62,12087,-23,-23,0
852,-69,12111,-26,-26,0
853,-75,12135,-28,-28,0
854,-77,12159,-29,-29,0
855,-73,12184,-27,-27,0
856,-67,12208,-25,-25,0
857,-60,12232,-22,-22,0
858,-48,12257,-18,-18,0
859,-33,12281,-12,-12,0
860,-18,12305,-7,-7,0
861,-2,12330,-1,-1,0
862,12,12354,5,5,0
863,26,12378,10,10,0
864,41,12403,16,16,0
865,54,12427,20,20,0
866,63,12451,24,24,0
867,70,12476,27,27,0
868,74,12500,28,28,0
869,74,12525,28,28,0
870,72,12549,28,28,0
871,64,12574,25,25,0
872,50,12598,19,19,0
873,35,12622,13,13,0
874,17,12647,7,7,0
875,-5,12671,-2,-2,0
876,-30,12696,-12,-12,0
877,-58,12720,-23,-23,0
878,-88,12745,-34,-34,0
879,-121,12769,-47,-47,0
880,-154,12794,-60,-60,0
881,-186,12818,-73,-73,0
882,-217,12843,-85,-85,0
883,-249,12867,-98,-98,0
884,-277,12892,-109,-109,0
885,-301,12917,-119,-119,0
886,-322,12941,-127,-127,0
887,-339,12966,-134,-134,0
888,-349,12990,-138,-138,0
889,-357,13015,-142,-142,0
890,-360,13039,-143,-143,0
891,-357,13064,-142,-142,0
892,-346,13089,-138,-138,0
893,-330,13113,-132,-132,0
894,-312,13138,-125,-125,0
895,-287,13163,-115,-115,0
896,-254,13187,-102,-102,0
897,-219,13212,-88,-88,0
898,-184,13237,-74,-74,0
899,-138,13261,-56,-56,0
900,-93,13286,-38,-38,0
901,-50,13311,-20,-20,0
902,-3,13335,-1,-1,0
903,44,13360,18,18,0
904,92,13385,38,38,0
905,138,13409,56,56,0
906,179,13434,73,73,0
907,218,13459,90,90,0
908,253,13484,104,104,0
909,284,13508,117,117,0
910,309,13533,128,128,0
