cycle,bin,power_hex,power_unsigned
274161,1194,00000000,0
274162,1195,00000000,0
274163,1196,00000000,0
274164,1197,00000000,0
274165,1198,00000000,0
274166,1199,00000000,0
274167,1200,00000000,0
274168,1201,00000000,0
274169,1202,00000000,0
274170,1203,00000000,0
274171,1204,00000000,0
274172,1205,00000000,0
274173,1206,00000000,0
274174,1207,00000000,0
274175,1208,00000000,0
274176,1209,00000000,0
274177,1210,00000000,0
274178,1211,00000000,0
274179,1212,00000000,0
274180,1213,00000000,0
274181,1214,00000000,0
274182,1215,00000000,0
274183,1216,00000000,0
274184,1217,00000000,0
274185,1218,00000000,0
274186,1219,00000000,0
274187,1220,00000000,0
274188,1221,00000000,0
274189,1222,00000000,0
274190,1223,00000000,0
274191,1224,00000000,0
274192,1225,00000000,0
274193,1226,00000000,0
274194,1227,00000000,0
274195,1228,00000000,0
274196,1229,00000000,0
274197,1230,00000000,0
274198,1231,00000000,0
274199,1232,00000000,0
274200,1233,00000000,0
274201,1234,00000000,0
274202,1235,00000000,0
274203,1236,00000000,0
274204,1237,00000000,0
274205,1238,00000000,0
274206,1239,00000000,0
274207,1240,00000000,0
