time_ps,bram_addr,bram_en,bram_we,bram_wrdata,fir_data,fir_valid,vpp_data,vpp_valid,mean_square_data,mean_square_valid,writer_busy,vpp_done,mean_square_done
2533825000,0x17af4,1,1111,0x01620161,354,1,0x00000000,0,0x00000000,0,1,0,0
2533845000,0x17af8,1,1111,0x01650168,357,1,0x00000000,0,0x00000000,0,1,0,0
2533865000,0x17afc,1,1111,0x01680163,360,1,0x00000000,0,0x00000000,0,1,0,0
2533885000,0x17b00,1,1111,0x0161016a,353,1,0x00000000,0,0x00000000,0,1,0,0
2533905000,0x17b04,1,1111,0x01670169,359,1,0x00000000,0,0x00000000,0,1,0,0
2533925000,0x17b08,1,1111,0x016a0168,362,1,0x00000000,0,0x00000000,0,1,0,0
2533945000,0x17b0c,1,1111,0x016b0165,363,1,0x00000000,0,0x00000000,0,1,0,0
2533965000,0x17b10,1,1111,0x01630166,355,1,0x00000000,0,0x00000000,0,1,0,0
2533985000,0x17b14,1,1111,0x0165016d,357,1,0x00000000,0,0x00000000,0,1,0,0
2534005000,0x17b18,1,1111,0x0167016d,359,1,0x00000000,0,0x00000000,0,1,0,0
2534025000,0x17b1c,1,1111,0x016c0166,364,1,0x00000000,0,0x00000000,0,1,0,0
2534045000,0x17b20,1,1111,0x0165016f,357,1,0x00000000,0,0x00000000,0,1,0,0
2534065000,0x17b24,1,1111,0x01660158,358,1,0x00000000,0,0x00000000,0,1,0,0
2534085000,0x17b28,1,1111,0x0166016c,358,1,0x00000000,0,0x00000000,0,1,0,0
2534105000,0x17b2c,1,1111,0x016d0164,365,1,0x00000000,0,0x00000000,0,1,0,0
2534125000,0x17b30,1,1111,0x016a0167,362,1,0x00000000,0,0x00000000,0,1,0,0
2534145000,0x17b34,1,1111,0x01680168,360,1,0x00000000,0,0x00000000,0,1,0,0
2534165000,0x17b38,1,1111,0x01600167,352,1,0x00000000,0,0x00000000,0,1,0,0
2534185000,0x17b3c,1,1111,0x01640168,356,1,0x00000000,0,0x00000000,0,1,0,0
2534205000,0x17b40,1,1111,0x0165015a,357,1,0x00000000,0,0x00000000,0,1,0,0
2534225000,0x17b44,1,1111,0x01600163,352,1,0x00000000,0,0x00000000,0,1,0,0
2534245000,0x17b48,1,1111,0x0168016c,360,1,0x00000000,0,0x00000000,0,1,0,0
2534265000,0x17b4c,1,1111,0x0162015e,354,1,0x00000000,0,0x00000000,0,1,0,0
2534285000,0x17b50,1,1111,0x01660157,358,1,0x00000000,0,0x00000000,0,1,0,0
2534305000,0x17b54,1,1111,0x015d015d,349,1,0x00000000,0,0x00000000,0,1,0,0
2534325000,0x17b58,1,1111,0x0159015b,345,1,0x00000000,0,0x00000000,0,1,0,0
2534345000,0x17b5c,1,1111,0x0161015b,353,1,0x00000000,0,0x00000000,0,1,0,0
2534365000,0x17b60,1,1111,0x01570157,343,1,0x00000000,0,0x00000000,0,1,0,0
2534385000,0x17b64,1,1111,0x0151014f,337,1,0x00000000,0,0x00000000,0,1,0,0
2534405000,0x17b68,1,1111,0x014f0152,335,1,0x00000000,0,0x00000000,0,1,0,0
2534425000,0x17b6c,1,1111,0x01510154,337,1,0x00000000,0,0x00000000,0,1,0,0
